海南高速公路股份有限公司,0
河南双汇投资发展股份有限公司,898
鞍钢股份有限公司,6419
航天科技控股集团股份有限公司,272
昆明云内动力股份有限公司,216
湖南景峰医药股份有限公司,0
四川泸天化股份有限公司,65
浙江钱江摩托股份有限公司,353
嘉凯城集团股份有限公司,0
海信科龙电器股份有限公司,0
哈尔滨电气集团佳木斯电机股份有限公司,0
河北宣化工程机械股份有限公司,0
北京中关村科技发展(控股)股份有限公司,2977184
湖南华菱钢铁股份有限公司,0
河南神火煤电股份有限公司,0
四川双马水泥股份有限公司,0
冀中能源股份有限公司,0
紫光股份有限公司,0
云南南天电子信息产业股份有限公司,85
新乡化纤股份有限公司,0
重庆建峰化工股份有限公司,0
中国重汽集团济南卡车股份有限公司,0
湖北广济药业股份有限公司,0
广西河池化工股份有限公司,1
北京首钢股份有限公司,456
江苏中南建设集团股份有限公司,12
华东医药股份有限公司,0
盈峰环境科技集团股份有限公司,0
高升控股股份有限公司,0
中基健康产业股份有限公司,0
佛山佛塑科技集团股份有限公司,95
浪潮电子信息产业股份有限公司,6519
桂林旅游股份有限公司,0
中弘控股股份有限公司,0
安徽众泰汽车股份有限公司,0
华工科技产业股份有限公司,0
九芝堂股份有限公司,224
诚志股份有限公司,0
中国中期投资股份有限公司,0
福建新大陆电脑股份有限公司,478
华润三九医药股份有限公司,195
重庆宗申动力机械股份有限公司,51
招商局蛇口工业区控股股份有限公司,0
浙江新和成股份有限公司,338
广东德豪润达电气股份有限公司,0
华兰生物工程股份有限公司,28
大族激光科技产业集团股份有限公司,1274
天奇自动化工程股份有限公司,0
浙江盾安人工环境股份有限公司,0
广东世荣兆业股份有限公司,0
东信和平科技股份有限公司,0
安徽华信国际控股股份有限公司,43
浙江京新药业股份有限公司,125
上海科华生物工程股份有限公司,105
四川海特高新技术股份有限公司,0
苏宁云商集团股份有限公司,113
贵州航天电器股份有限公司,665
分众传媒信息技术股份有限公司,0
思源电气股份有限公司,182
福建七匹狼实业股份有限公司,0
中山大学达安基因股份有限公司,194
浙江苏泊尔股份有限公司,0
华帝股份有限公司,426
联创电子科技股份有限公司,0
南京港股份有限公司,0
华孚色纺股份有限公司,0
国光电器股份有限公司,0
宁波华翔电子股份有限公司,0
中工国际工程股份有限公司,0
深圳市同洲电子股份有限公司,0
深圳市得润电子股份有限公司,305
横店集团东磁股份有限公司,872
广东水电二局股份有限公司,0
宏润建设集团股份有限公司,135
远光软件股份有限公司,191
浙江华峰氨纶股份有限公司,198
东华软件股份公司,13
瑞泰科技股份有限公司,242
江西黑猫炭黑股份有限公司,0
福建众和股份有限公司,0
长城影视股份有限公司,0
软控股份有限公司,0
国轩高科股份有限公司,0
江苏沙钢股份有限公司,0
广东雪莱特光电科技股份有限公司,318
苏州金螳螂建筑装饰股份有限公司,1223
孚日集团股份有限公司,215
广州海鸥卫浴用品股份有限公司,0
浙江万丰奥威汽轮股份有限公司,0
江苏金智科技股份有限公司,107
江苏国泰国际集团国贸股份有限公司,0
新疆中泰化学股份有限公司,0
国脉科技股份有限公司,0
青岛金王应用化学股份有限公司,0
浙江网盛生意宝股份有限公司,1
山河智能装备股份有限公司,0
浙江海翔药业股份有限公司,0
广东鸿图科技股份有限公司,0
广博集团股份有限公司,0
恒宝股份有限公司,159
深圳莱宝高科技股份有限公司,318
山东沃华医药科技股份有限公司,0
福建三钢闽光股份有限公司,178
三维通信股份有限公司,0
